100000000A,國民大會
376421502A,宜蘭縣員山鄉戶政事務所
376421503A,宜蘭縣礁溪鄉戶政事務所
376421504A,宜蘭縣頭城鎮戶政事務所
376421505A,宜蘭縣壯圍鄉戶政事務所
376421506A,宜蘭縣羅東鎮戶政事務所
376421507A,宜蘭縣五結鄉戶政事務所
376421508A,宜蘭縣冬山鄉戶政事務所
376421509A,宜蘭縣蘇澳鎮戶政事務所
376421510A,宜蘭縣南澳鄉戶政事務所
376421511A,宜蘭縣三星鄉戶政事務所
376421512A,宜蘭縣大同鄉戶政事務所
376421800C,宜蘭縣政府警察局
376421811C,宜蘭縣政府警察局宜蘭分局
376421812C,宜蘭縣政府警察局羅東分局
376421813C,宜蘭縣政府警察局蘇澳分局
376421814C,宜蘭縣政府警察局礁溪分局
376421815C,宜蘭縣政府警察局三星分局
376422100E,宜蘭縣立文化中心
376422300E,宜蘭縣立體育場
376422400A,宜蘭縣風景區管理所
376422600E,宜蘭縣政府文化局
376422700J,宜蘭縣立殯葬管理所
376422800C,宜蘭縣政府消防局
376422900E,宜蘭縣史館
376423000I,宜蘭縣動植物防疫所
376423100E,宜蘭縣立蘭陽博物館
376423200E,宜蘭縣家庭教育中心
376423300A,宜蘭縣原住民事務所
376423400G,宜蘭縣漁業管理所
376425100A,宜蘭縣宜蘭市公所
376425108A,宜蘭縣宜蘭市市場管理所
376425111I,宜蘭縣宜蘭市清潔隊
376425121E,宜蘭縣宜蘭市立圖書館
376425180J,宜蘭縣宜蘭市立托兒所
376425200A,宜蘭縣羅東鎮公所
376425208A,宜蘭縣羅東鎮公有市場管理所
376425210A,宜蘭縣羅東鎮公用事業管理所
376425211I,宜蘭縣羅東鎮清潔隊
376425221E,宜蘭縣羅東鎮立圖書館
376425251J,宜蘭縣羅東鎮立殯葬管理所
376425280J,宜蘭縣羅東鎮立托兒所
376425300A,宜蘭縣蘇澳鎮公所
376425307A,宜蘭縣蘇澳鎮公有零售市場
376425311I,宜蘭縣蘇澳鎮清潔隊
376425321E,宜蘭縣蘇澳鎮立圖書館
376425380J,宜蘭縣蘇澳鎮立托兒所
376425400A,宜蘭縣頭城鎮公所
376425411I,宜蘭縣頭城鎮清潔隊
376425421E,宜蘭縣頭城鎮立圖書館
376425480J,宜蘭縣頭城鎮立托兒所
376425500A,宜蘭縣礁溪鄉公所
376425511I,宜蘭縣礁溪鄉清潔隊
376425521E,宜蘭縣礁溪鄉立圖書館
376425580J,宜蘭縣礁溪鄉立托兒所
376425600A,宜蘭縣壯圍鄉公所
376425611I,宜蘭縣壯圍鄉清潔隊
376425621E,宜蘭縣壯圍鄉立圖書館
376425680J,宜蘭縣壯圍鄉立托兒所
376425700A,宜蘭縣員山鄉公所
376425711I,宜蘭縣員山鄉清潔隊
376425721E,宜蘭縣員山鄉立圖書館
376425780J,宜蘭縣員山鄉立托兒所
376425800A,宜蘭縣冬山鄉公所
376425811I,宜蘭縣冬山鄉清潔隊
376425821E,宜蘭縣冬山鄉立圖書館
376425880J,宜蘭縣冬山鄉立托兒所
376425900A,宜蘭縣五結鄉公所
376425911I,宜蘭縣五結鄉清潔隊
376425921E,宜蘭縣五結鄉立圖書館
376425980J,宜蘭縣五結鄉立托兒所
376426000A,宜蘭縣三星鄉公所
376426005A,宜蘭縣三星鄉三星公有零售市場
376426011I,宜蘭縣三星鄉清潔隊
376426021E,宜蘭縣三星鄉立圖書館
376426080J,宜蘭縣三星鄉立托兒所
376426100A,宜蘭縣大同鄉公所
376426111I,宜蘭縣大同鄉清潔隊
376426121E,宜蘭縣大同鄉立圖書館
376426180J,宜蘭縣大同鄉立托兒所
376426200A,宜蘭縣南澳鄉公所
376426211I,宜蘭縣南澳鄉清潔隊
376426221E,宜蘭縣南澳鄉圖書館
376426280J,宜蘭縣南澳鄉立托兒所
376430000A,桃園縣政府
376430303I,桃園縣政府衛生局
376430306I,桃園縣政府環境保護局
376430341I,桃園縣桃園市衛生所
376430342I,桃園縣中壢市衛生所
376430343I,桃園縣大溪鎮衛生所
376430345I,桃園縣蘆竹鄉衛生所
376430346I,桃園縣大園鄉衛生所
376430347I,桃園縣龜山鄉衛生所
376430349I,桃園縣龍潭鄉衛生所
376430351I,桃園縣新屋鄉衛生所
376430352I,桃園縣觀音鄉衛生所
376430353I,桃園縣復興鄉衛生所
376430354I,桃園縣平鎮市衛生所
376430355I,桃園縣八德市衛生所
376430356I,桃園縣楊梅市衛生所
376430400A,桃園縣桃園地政事務所
376430500A,桃園縣中壢地政事務所
376430600A,桃園縣大溪地政事務所
376430700A,桃園縣楊梅地政事務所
376430800A,桃園縣蘆竹地政事務所
376430900A,桃園縣八德地政事務所
376431000A,桃園縣平鎮地政事務所
376431300D,桃園縣政府地方稅務局
376431501A,桃園縣桃園市戶政事務所
376431502A,桃園縣中壢市戶政事務所
376431503A,桃園縣龜山鄉戶政事務所
376431507A,桃園縣新屋鄉戶政事務所
376431508A,桃園縣龍潭鄉戶政事務所
376431509A,桃園縣大園鄉戶政事務所
376431510A,桃園縣蘆竹鄉戶政事務所
376431511A,桃園縣觀音鄉戶政事務所
376431512A,桃園縣大溪鎮戶政事務所
376431513A,桃園縣復興鄉戶政事務所
376431514A,桃園縣平鎮市戶政事務所
376431515A,桃園縣八德市戶政事務所
376431518A,桃園縣楊梅市戶政事務所
376431800C,桃園縣政府警察局
376431804C,桃園縣政府警察局少年警察隊
376431805C,桃園縣政府警察局婦幼警察隊
376431806C,桃園縣政府警察局民防管制中心
376431811C,桃園縣政府警察局桃園分局
376431812C,桃園縣政府警察局中壢分局
376431813C,桃園縣政府警察局大溪分局
376431814C,桃園縣政府警察局楊梅分局
376431815C,桃園縣政府警察局大園分局
376431816C,桃園縣政府警察局平鎮分局
376431817C,桃園縣政府警察局龜山分局
376431818C,桃園縣政府警察局八德分局
376431819C,桃園縣政府警察局龍潭分局
376431820C,桃園縣政府警察局蘆竹分局
376431841C,桃園縣政府警察局刑事警察大隊
376431842C,桃園縣政府警察局保安警察大隊
376431843C,桃園縣政府警察局交通警察大隊
376431900C,桃園縣政府消防局
376435100A,桃園縣桃園市公所
376435105A,桃園縣桃園市永和公有零售市場
376435106A,桃園縣桃園市東門公有零售市場
376435107A,桃園縣桃園市南門公有零售市場
376435108A,桃園縣桃園市新民公有零售市場
376435111I,桃園縣桃園市清潔隊
376435121E,桃園縣桃園市立圖書館
376435152J,桃園縣桃園市殯葬管理所
376435153G,桃園縣桃園市公園管理所
376435180J,桃園縣桃園市立托兒所
376435200A,桃園縣中壢市公所
376435211I,桃園縣中壢市清潔隊
376435222E,桃園縣中壢市文化圖書管理所
376435252J,桃園縣中壢市立殯葬管理所
376435280J,桃園縣中壢市立托兒所
376435291G,桃園縣中壢市公園路燈管理所
376435300A,桃園縣大溪鎮公所
376435305A,桃園縣大溪鎮第一公有零售市場
376435311I,桃園縣大溪鎮清潔隊
376435321E,桃園縣大溪鎮立圖書館
376435380J,桃園縣大溪鎮立托兒所
376435500A,桃園縣蘆竹鄉公所
376435511I,桃園縣蘆竹鄉清潔隊
376435521E,桃園縣蘆竹鄉立圖書館
376435580J,桃園縣蘆竹鄉立托兒所
376435600A,桃園縣大園鄉公所
376435605A,桃園縣大園鄉第一公有零售市場
376435611I,桃園縣大園鄉清潔隊
376435621E,桃園縣大園鄉立圖書館
376435680J,桃園縣大園鄉立托兒所
376435700A,桃園縣龜山鄉公所
376435711I,桃園縣龜山鄉清潔隊
376435780J,桃園縣龜山鄉立托兒所
376435791G,桃園縣龜山鄉立公園路燈管理所
376435792G,桃園縣龜山鄉立養護工程所
376435900A,桃園縣龍潭鄉公所
376435906A,桃園縣龍潭鄉公有零售市場
376435911I,桃園縣龍潭鄉清潔隊
376435921E,桃園縣龍潭鄉立圖書館
376435980J,桃園縣龍潭鄉立托兒所
376436100A,桃園縣新屋鄉公所
376436105A,桃園縣新屋鄉第一公有零售市場
376436111I,桃園縣新屋鄉清潔隊
376436121E,桃園縣新屋鄉立圖書館
376436180J,桃園縣新屋鄉立托兒所
376436200A,桃園縣觀音鄉公所
376436211I,桃園縣觀音鄉清潔隊
376436221E,桃園縣觀音鄉立圖書館
376436280J,桃園縣觀音鄉立托兒所
376436300A,桃園縣復興鄉公所
376436321E,桃園縣復興鄉立中正圖書館
376436380J,桃園縣復興鄉立托兒所
376436400A,桃園縣平鎮市公所
376436405A,桃園縣平鎮市第一公有零售市場
376436411I,桃園縣平鎮市清潔隊
376436421E,桃園縣平鎮市立圖書館
376436480J,桃園縣平鎮市立托兒所
376436500A,桃園縣八德市公所
376436505A,桃園縣八德市大湳公有零售市場
376436506A,桃園縣八德市八德公有零售市場
376436511I,桃園縣八德市清潔隊
376436521E,桃園縣八德市立圖書館
376436580J,桃園縣八德市立托兒所
376436591G,桃園縣八德市公園路燈管理所
376436600A,桃園縣楊梅市公所
376440000A,新竹縣政府
376440304I,新竹縣政府衛生局
376440306I,新竹縣政府環境保護局
376440342I,新竹縣關西鎮衛生所
376440343I,新竹縣新埔鎮衛生所
376440344I,新竹縣竹東鎮衛生所
376440345I,新竹縣湖口鄉衛生所
376440346I,新竹縣橫山鄉衛生所
376440347I,新竹縣新豐鄉衛生所
376440348I,新竹縣芎林鄉衛生所
376440349I,新竹縣寶山鄉衛生所
376440350I,新竹縣北埔鄉衛生所
376440351I,新竹縣峨眉鄉衛生所
376440352I,新竹縣尖石鄉衛生所
376440353I,新竹縣五峰鄉衛生所
376440356I,新竹縣竹北市衛生所
376440400A,新竹縣竹北地政事務所
376440500A,新竹縣竹東地政事務所
376440600A,新竹縣新湖地政事務所
376441300D,新竹縣政府稅捐稽徵局
376441501A,新竹縣竹北市戶政事務所
376441502A,新竹縣竹東鎮戶政事務所
376441503A,新竹縣關西鎮戶政事務所
376441504A,新竹縣新埔鎮戶政事務所
376441505A,新竹縣新豐鄉戶政事務所
376441506A,新竹縣湖口鄉戶政事務所
376441507A,新竹縣寶山鄉戶政事務所
376441508A,新竹縣北埔鄉戶政事務所
376441509A,新竹縣芎林鄉戶政事務所
376441510A,新竹縣峨眉鄉戶政事務所
376441511A,新竹縣橫山鄉戶政事務所
376441512A,新竹縣尖石鄉戶政事務所
376441513A,新竹縣五峰鄉戶政事務所
376441800C,新竹縣政府警察局
376441801C,新竹縣政府警察局保安警察隊
376441811C,新竹縣政府警察局竹北分局
376441812C,新竹縣政府警察局新埔分局
376441813C,新竹縣政府警察局竹東分局
376441814C,新竹縣政府警察局橫山分局
376441900C,新竹縣政府消防局
376442200I,新竹縣家畜疾病防治所
376442700E,新竹縣教育研究發展暨網路中心
376442800E,新竹縣體育場
376442900E,新竹縣政府文化局
376443200E,新竹縣家庭教育中心
376445200A,新竹縣關西鎮公所
376445205A,新竹縣關西鎮關西公有零售市場
376445221E,新竹縣關西鎮立圖書館
376445280J,新竹縣關西鎮立托兒所
376445300A,新竹縣新埔鎮公所
376445305A,新竹縣新埔鎮第一公有零售市場
376445311I,新竹縣新埔鎮清潔隊
376445321E,新竹縣新埔鎮立圖書館
376445380J,新竹縣新埔鎮立托兒所
376445400A,新竹縣竹東鎮公所
376445408A,新竹縣竹東鎮公用事業管理所
376445411I,新竹縣竹東鎮清潔隊
376445421E,新竹縣竹東鎮立圖書館
376445461E,新竹縣竹東鎮立體育場
376445480J,新竹縣竹東鎮立托兒所
376445500A,新竹縣湖口鄉公所
376445505A,新竹縣湖口鄉第一公有零售市場
376445511I,新竹縣湖口鄉清潔隊
376445521E,新竹縣湖口鄉立圖書館
376445580J,新竹縣湖口鄉立托兒所
376445600A,新竹縣橫山鄉公所
376445621E,新竹縣橫山鄉立圖書館
376445680J,新竹縣橫山鄉立托兒所
376445700A,新竹縣新豐鄉公所
376445705A,新竹縣新豐鄉新庄子公有零售市場
376445711I,新竹縣新豐鄉清潔隊
376445721E,新竹縣新豐鄉立圖書館
376445780J,新竹縣新豐鄉立托兒所
376445800A,新竹縣芎林鄉公所
376445811I,新竹縣芎林鄉清潔隊
376445821E,新竹縣芎林鄉立圖書館
376445880J,新竹縣芎林鄉立托兒所
376445900A,新竹縣寶山鄉公所
376445911I,新竹縣寶山鄉清潔隊
376445921E,新竹縣寶山鄉立圖書館
376445980J,新竹縣寶山鄉立托兒所
376446000A,新竹縣北埔鄉公所
376446005A,新竹縣北埔鄉北埔公有零售市場
376446011I,新竹縣北埔鄉清潔隊
376446021E,新竹縣北埔鄉立圖書館
376446080J,新竹縣北埔鄉立托兒所
376446100A,新竹縣峨眉鄉公所
376446121E,新竹縣峨眉鄉立圖書館
376446180J,新竹縣峨眉鄉立托兒所
376446200A,新竹縣尖石鄉公所
376446280J,新竹縣尖石鄉立托兒所
376446300A,新竹縣五峰鄉公所
376446380J,新竹縣五峰鄉立托兒所
376446400A,新竹縣竹北市公所
376446405A,新竹縣竹北市新社公有零售市場
376446411I,新竹縣竹北市清潔隊
376446421E,新竹縣竹北市立圖書館
376446480J,新竹縣竹北市立托兒所
376450000A,苗栗縣政府
376450200C,苗栗縣警察局
376450241C,苗栗縣警察局刑事警察大隊
376450251C,苗栗縣警察局保安警察隊
376450253C,苗栗縣警察局交通警察隊
376450255C,苗栗縣警察局少年警察隊
376450257C,苗栗縣警察局婦幼警察隊
376450261C,苗栗縣警察局苗栗分局
376450262C,苗栗縣警察局通霄分局
376450263C,苗栗縣警察局竹南分局
376450264C,苗栗縣警察局頭份分局
376450265C,苗栗縣警察局大湖分局
376450296C,苗栗縣警察局民防管制中心
376450302I,苗栗縣立慢性病防治所
376450303I,苗栗縣政府衛生局
376450306I,苗栗縣政府環境保護局
376450341I,苗栗縣苗栗市衛生所
376450342I,苗栗縣苑裡鎮衛生所
376450343I,苗栗縣通霄鎮衛生所
376450344I,苗栗縣竹南鎮衛生所
376450345I,苗栗縣頭份鎮衛生所
376450346I,苗栗縣後龍鎮衛生所
376450347I,苗栗縣卓蘭鎮衛生所
376450348I,苗栗縣大湖鄉衛生所
376450349I,苗栗縣公館鄉衛生所
376450350I,苗栗縣銅鑼鄉衛生所
376450351I,苗栗縣南庄鄉衛生所
376450352I,苗栗縣頭屋鄉衛生所
376450353I,苗栗縣三義鄉衛生所
376450354I,苗栗縣西湖鄉衛生所
376450355I,苗栗縣造橋鄉衛生所
376450356I,苗栗縣三灣鄉衛生所
376450357I,苗栗縣獅潭鄉衛生所
376450358I,苗栗縣泰安鄉衛生所
376450400A,苗栗縣苗栗地政事務所
376450500A,苗栗縣通霄地政事務所
376450600A,苗栗縣竹南地政事務所
376450700A,苗栗縣大湖地政事務所
376450800A,苗栗縣銅鑼地政事務所
376450900A,苗栗縣頭份地政事務所
376451300D,苗栗縣政府稅務局
376451501A,苗栗縣苗栗市戶政事務所
376451502A,苗栗縣公館鄉戶政事務所
376451503A,苗栗縣銅鑼鄉戶政事務所
376451504A,苗栗縣三義鄉戶政事務所
376451505A,苗栗縣頭屋鄉戶政事務所
376451506A,苗栗縣頭份鎮戶政事務所
376451507A,苗栗縣三灣鄉戶政事務所
376451508A,苗栗縣南庄鄉戶政事務所
376451509A,苗栗縣竹南鎮戶政事務所
376451510A,苗栗縣造橋鄉戶政事務所
376451511A,苗栗縣後龍鎮戶政事務所
376451512A,苗栗縣通霄鎮戶政事務所
376451513A,苗栗縣苑裡鎮戶政事務所
376451514A,苗栗縣西湖鄉戶政事務所
376451515A,苗栗縣卓蘭鎮戶政事務所
376451516A,苗栗縣大湖鄉戶政事務所
376451517A,苗栗縣獅潭鄉戶政事務所
376451518A,苗栗縣泰安鄉戶政事務所
376451900C,苗栗縣政府消防局
376452400E,苗栗縣立體育場
376452500I,苗栗縣動物防疫所
376452700E,苗栗縣政府國際文化觀光局
376453200E,苗栗縣家庭教育中心
376453300A,苗栗縣發包中心
376455100A,苗栗縣苗栗市公所
376455105A,苗栗縣苗栗市南苗公有零售市場
376455106A,苗栗縣苗栗市中苗公有零售市場
376455107A,苗栗縣苗栗市北苗公有零售市場
376455111I,苗栗縣苗栗市清潔隊
376455121E,苗栗縣苗栗市立圖書館
376455200A,苗栗縣苑裡鎮公所
376455205A,苗栗縣苑裡鎮苑裡公有零售市場
376455206A,苗栗縣苑裡鎮山腳公有零售市場
376455211I,苗栗縣苑裡鎮清潔隊
376455221E,苗栗縣苑裡鎮立圖書館
376455300A,苗栗縣通霄鎮公所
376455306A,苗栗縣通霄鎮公有零售市場
376455311I,苗栗縣通霄鎮清潔隊
376455321E,苗栗縣通霄鎮立圖書館
376455380J,苗栗縣通霄鎮立托兒所
376455400A,苗栗縣竹南鎮公所
376455406A,苗栗縣竹南鎮第二公有零售市場
376455408A,苗栗縣竹南鎮中興公有零售市場
376455411I,苗栗縣竹南鎮清潔隊
376455422E,苗栗縣竹南鎮立圖書館
376455480J,苗栗縣竹南鎮立托兒所
376455491G,苗栗縣竹南鎮公園路燈管理所
376455500A,苗栗縣頭份鎮公所
376455505A,苗栗縣頭份鎮頭份公有零售市場
376455506A,苗栗縣頭份鎮中華公有零售市場
376455511I,苗栗縣頭份鎮清潔隊
376455521E,苗栗縣頭份鎮立圖書館
376455551J,苗栗縣頭份鎮殯葬管理所
376455580J,苗栗縣頭份鎮立托兒所
376455591G,苗栗縣頭份鎮公園路燈管理所
376455600A,苗栗縣後龍鎮公所
376455605A,苗栗縣後龍鎮後龍公有零售市場
376455611I,苗栗縣後龍鎮清潔隊
376455621E,苗栗縣後龍鎮立圖書館
376455700A,苗栗縣卓蘭鎮公所
376455706A,苗栗縣卓蘭鎮公有零售市場
376455711I,苗栗縣卓蘭鎮清潔隊
376455721E,苗栗縣卓蘭鎮立圖書館
376455780J,苗栗縣卓蘭鎮立托兒所
376455800A,苗栗縣大湖鄉公所
376455805A,苗栗縣大湖鄉大湖公有零售市場
376455811I,苗栗縣大湖鄉清潔隊
376455821E,苗栗縣大湖鄉立圖書館
376455880J,苗栗縣大湖鄉立托兒所
376455900A,苗栗縣公館鄉公所
376455906A,苗栗縣公館鄉公有零售市場
376455911I,苗栗縣公館鄉清潔隊
376455921E,苗栗縣公館鄉立圖書館
376456000A,苗栗縣銅鑼鄉公所
376456005A,苗栗縣銅鑼鄉第一公有零售市場
376456011I,苗栗縣銅鑼鄉清潔隊
376456021E,苗栗縣銅鑼鄉立圖書館
376456080J,苗栗縣銅鑼鄉立托兒所
376456100A,苗栗縣南庄鄉公所
376456111I,苗栗縣南庄鄉清潔隊
376456180J,苗栗縣南庄鄉立托兒所
376456200A,苗栗縣頭屋鄉公所
376456211I,苗栗縣頭屋鄉清潔隊
376456300A,苗栗縣三義鄉公所
376456305A,苗栗縣三義鄉第一公有零售市場
376456311I,苗栗縣三義鄉清潔隊
376456321E,苗栗縣三義鄉立圖書館
376456380J,苗栗縣三義鄉立托兒所
376456400A,苗栗縣西湖鄉公所
376456411I,苗栗縣西湖鄉清潔隊
376456421E,苗栗縣西湖鄉立圖書館
376456480J,苗栗縣西湖鄉立托兒所
376456500A,苗栗縣造橋鄉公所
376456511I,苗栗縣造橋鄉清潔隊
376456580J,苗栗縣造橋鄉立托兒所
376456600A,苗栗縣三灣鄉公所
376456611I,苗栗縣三灣鄉清潔隊
376456680J,苗栗縣三灣鄉立托兒所
376456700A,苗栗縣獅潭鄉公所
376456711I,苗栗縣獅潭鄉清潔隊
376456800A,苗栗縣泰安鄉公所
376456811I,苗栗縣泰安鄉清潔隊
376456880J,苗栗縣泰安鄉立托兒所
376470000A,彰化縣政府
376470200C,彰化縣警察局
376470241C,彰化縣警察局刑事警察大隊
376470251C,彰化縣警察局保安警察隊
376470253C,彰化縣警察局交通警察隊
376470255C,彰化縣警察局少年警察隊
376470257C,彰化縣警察局婦幼警察隊
376470261C,彰化縣警察局彰化分局
376470262C,彰化縣警察局鹿港分局
376470263C,彰化縣警察局和美分局
376470264C,彰化縣警察局北斗分局
376470265C,彰化縣警察局員林分局
376470266C,彰化縣警察局溪湖分局
376470267C,彰化縣警察局田中分局
376470269C,彰化縣警察局芳苑分局
376470296C,彰化縣警察局民防管制中心
376470300I,彰化縣衛生局
376470304I,彰化縣長期照顧暨慢性病防治所
376470305I,彰化縣環境保護局
376470341I,彰化縣彰化市南西北區衛生所
376470343I,彰化縣鹿港鎮衛生所
376470344I,彰化縣和美鎮衛生所
376470345I,彰化縣北斗鎮衛生所
376470346I,彰化縣員林鎮衛生所
376470347I,彰化縣溪湖鎮衛生所
376470348I,彰化縣田中鎮衛生所
376470349I,彰化縣二林鎮衛生所
376470350I,彰化縣線西鄉衛生所
376470351I,彰化縣伸港鄉衛生所
376470352I,彰化縣福興鄉衛生所
376470353I,彰化縣秀水鄉衛生所
376470354I,彰化縣花壇鄉衛生所
376470355I,彰化縣芬園鄉衛生所
376470356I,彰化縣大村鄉衛生所
376470357I,彰化縣埔鹽鄉衛生所
376470358I,彰化縣埔心鄉衛生所
376470359I,彰化縣永靖鄉衛生所
376470360I,彰化縣社頭鄉衛生所
376470361I,彰化縣二水鄉衛生所
376470362I,彰化縣田尾鄉衛生所
376470363I,彰化縣埤頭鄉衛生所
376470364I,彰化縣芳苑鄉衛生所
376470365I,彰化縣大城鄉衛生所
376470366I,彰化縣竹塘鄉衛生所
376470367I,彰化縣溪州鄉衛生所
376470368I,彰化縣彰化市東區衛生所
376470400A,彰化縣彰化地政事務所
376470500A,彰化縣鹿港地政事務所
376470600A,彰化縣和美地政事務所
376470700A,彰化縣北斗地政事務所
376470800A,彰化縣員林地政事務所
376470900A,彰化縣溪湖地政事務所
376471000A,彰化縣田中地政事務所
376471100A,彰化縣二林地政事務所
376471300D,彰化縣地方稅務局
376471501A,彰化縣彰化市戶政事務所
376471502A,彰化縣花壇鄉戶政事務所
376471503A,彰化縣芬園鄉戶政事務所
376471504A,彰化縣鹿港鎮戶政事務所
376471505A,彰化縣福興鄉戶政事務所
376471506A,彰化縣秀水鄉戶政事務所
376471507A,彰化縣和美鎮戶政事務所
376471508A,彰化縣線西鄉戶政事務所
376471509A,彰化縣伸港鄉戶政事務所
376471510A,彰化縣員林鎮戶政事務所
376471511A,彰化縣大村鄉戶政事務所
376471512A,彰化縣永靖鄉戶政事務所
376471513A,彰化縣溪湖鎮戶政事務所
376471514A,彰化縣埔鹽鄉戶政事務所
376471515A,彰化縣埔心鄉戶政事務所
376471516A,彰化縣田中鎮戶政事務所
376471517A,彰化縣社頭鄉戶政事務所
376471518A,彰化縣二水鄉戶政事務所
376471519A,彰化縣北斗鎮戶政事務所
376471520A,彰化縣田尾鄉戶政事務所
376471521A,彰化縣埤頭鄉戶政事務所
376471522A,彰化縣溪州鄉戶政事務所
376471523A,彰化縣二林鎮戶政事務所
376471524A,彰化縣芳苑鄉戶政事務所
376471525A,彰化縣大城鄉戶政事務所
376471526A,彰化縣竹塘鄉戶政事務所
376472000C,彰化縣消防局
376472400E,彰化縣文化局
376472500I,彰化縣動物防疫所
376473200E,彰化縣家庭教育中心
376475100A,彰化縣彰化市公所
376475105A,彰化縣彰化市民生公有零售市場
376475106A,彰化縣彰化市南門公有零售市場
376475107A,彰化縣彰化市華陽公有零售市場
376475108A,彰化縣彰化市民權公有零售市場
376475111I,彰化縣彰化市清潔隊
376475121E,彰化縣彰化市立圖書館
376475151J,彰化縣彰化市立殯儀館
376475161E,彰化縣彰化市立藝術館
376475180J,彰化縣彰化市立托兒所
376475200A,彰化縣鹿港鎮公所
376475207A,彰化縣鹿港鎮公用事業管理所
376475211I,彰化縣鹿港鎮清潔隊
376475280J,彰化縣鹿港鎮立托兒所
376475290G,彰化縣鹿港鎮工程隊
376475300A,彰化縣和美鎮公所
376475305A,彰化縣和美鎮和美公有零售市場
376475311I,彰化縣和美鎮清潔隊
376475321E,彰化縣和美鎮立圖書館
376475380J,彰化縣和美鎮立托兒所
376475400A,彰化縣北斗鎮公所
376475405A,彰化縣北斗鎮公有零售市場
376475411I,彰化縣北斗鎮清潔隊
376475421E,彰化縣北斗鎮立圖書館
376475480J,彰化縣北斗鎮立托兒所
376475500A,彰化縣員林鎮公所
376475505A,彰化縣員林鎮第一公有零售市場
376475508A,彰化縣員林鎮第四公有零售市場
376475511I,彰化縣員林鎮清潔隊
376475521E,彰化縣員林鎮立圖書館
376475580J,彰化縣員林鎮立托兒所
376475600A,彰化縣溪湖鎮公所
376475605A,彰化縣溪湖鎮第一公有零售市場
376475611I,彰化縣溪湖鎮清潔隊
376475621E,彰化縣溪湖鎮立圖書館
376475680J,彰化縣溪湖鎮立托兒所
376475700A,彰化縣田中鎮公所
376475705A,彰化縣田中鎮第一公有零售市場
376475711I,彰化縣田中鎮清潔隊
376475721E,彰化縣田中鎮立圖書館
376475780J,彰化縣田中鎮立托兒所
376475800A,彰化縣二林鎮公所
376475805A,彰化縣二林鎮第一公有零售市場
376475806A,彰化縣二林鎮第二公有零售市場
376475811I,彰化縣二林鎮清潔隊
376475821E,彰化縣二林鎮立圖書館
376475880J,彰化縣二林鎮立托兒所
376475900A,彰化縣線西鄉公所
376475980J,彰化縣線西鄉立托兒所
376476000A,彰化縣伸港鄉公所
376476006A,彰化縣伸港鄉公有零售市場
376476011I,彰化縣伸港鄉清潔隊
376476080J,彰化縣伸港鄉立托兒所
376476100A,彰化縣福興鄉公所
376476111I,彰化縣福興鄉清潔隊
376476121E,彰化縣福興鄉立圖書館
376476180J,彰化縣福興鄉立托兒所
376476200A,彰化縣秀水鄉公所
376476205A,彰化縣秀水鄉福安公有零售市場
376476211I,彰化縣秀水鄉清潔隊
376476280J,彰化縣秀水鄉立托兒所
376476300A,彰化縣花壇鄉公所
376476306A,彰化縣花壇鄉公有零售市場
376476311I,彰化縣花壇鄉清潔隊
376476321E,彰化縣花壇鄉立圖書館
376476380J,彰化縣花壇鄉立托兒所
376476400A,彰化縣芬園鄉公所
376476411I,彰化縣芬園鄉清潔隊
376476421E,彰化縣芬園鄉立圖書館
376476480J,彰化縣芬園鄉立托兒所
376476500A,彰化縣大村鄉公所
376476511I,彰化縣大村鄉清潔隊
376476580J,彰化縣大村鄉立托兒所
376476600A,彰化縣埔鹽鄉公所
376476611I,彰化縣埔鹽鄉清潔隊
376476621E,彰化縣埔鹽鄉立圖書館
376476680J,彰化縣埔鹽鄉立托兒所
376476700A,彰化縣埔心鄉公所
376476711I,彰化縣埔心鄉清潔隊
376476721E,彰化縣埔心鄉立圖書館
376476780J,彰化縣埔心鄉立托兒所
376476800A,彰化縣永靖鄉公所
376476805A,彰化縣永靖鄉中山公有零售市場
376476880J,彰化縣永靖鄉立托兒所
376476900A,彰化縣社頭鄉公所
376476905A,彰化縣社頭鄉公有零售市場
376476911I,彰化縣社頭鄉清潔隊
376476921E,彰化縣社頭鄉立圖書館
376476980J,彰化縣社頭鄉立托兒所
376477000A,彰化縣二水鄉公所
376477021E,彰化縣二水鄉立圖書館
376477080J,彰化縣二水鄉立托兒所
376477100A,彰化縣田尾鄉公所
376477121E,彰化縣田尾鄉立圖書館
376477180J,彰化縣田尾鄉立托兒所
376477200A,彰化縣埤頭鄉公所
376477211I,彰化縣埤頭鄉清潔隊
376477221E,彰化縣埤頭鄉立圖書館
376477280J,彰化縣埤頭鄉立托兒所
376477300A,彰化縣芳苑鄉公所
376477321E,彰化縣芳苑鄉立圖書館
376477380J,彰化縣芳苑鄉立托兒所
376477400A,彰化縣大城鄉公所
376477405A,彰化縣大城鄉中央公有零售市場
376477421E,彰化縣大城鄉立圖書館
376477480J,彰化縣大城鄉立托兒所
376477500A,彰化縣竹塘鄉公所
376477505A,彰化縣竹塘鄉竹塘公有零售市場
376477521E,彰化縣竹塘鄉立圖書館
376477580J,彰化縣竹塘鄉立托兒所
376477600A,彰化縣溪州鄉公所
376477605A,彰化縣溪州鄉溪州公有零售市場
376477611I,彰化縣溪州鄉清潔隊
376477621E,彰化縣溪州鄉立圖書館
376477680J,彰化縣溪州鄉立托兒所
376480000A,南投縣政府
